europe-sweden-churches-a great deal deal,2.9
europe-sweden-v114-not very much,27.9
europe-sweden-v114-none at all,15.1
europe-sweden-churches-quite a lot a lot,33.7
europe-sweden-churches-not very much,47.9
europe-sweden-churches-none at all,15.1

europe-sweden-v114-a great deal,22.9
europe-sweden-v114-quite a lot,13.7


asia-japan-v108-a great deal,2.9
asia-japan-v108-quite a lot,33.7
asia-japan-v108-not very much,47.9
asia-japan-v108-none at all,15.1

asia-japan-v114-a great deal,2.9
asia-japan-v114-quite a lot,33.7
asia-japan-v114-not very much,47.9
asia-japan-v114-none at all,15.1

europe-netherlands-v108-a great deal,5
europe-netherlands-v108-quite a lot,25
europe-netherlands-v108-not very much,50
europe-netherlands-v108-none at all,20
